"Confirm account and data deletion","Potvrdit smazání účtu a osobních údajů"
"Missing or wrong parameters, please try again.","Špatný nebo chybějící parametr, zkuste to prosím znovu."
"All your personal information was deleted.","Všechny vaše osobní údaje byly vymazány."
"Error occurred. Please try again later or contact site administrator.","Chyba při zpracování požadavku. Zkuste to prosím později nebo kontaktujte administrátora."
"Request account deletion","Vyžádat smazání účtu"
"Verification link was sent to email address you just provided.","Byl Vám odeslán email s potvrzovacím odkazem."
"Sorry, we can't process your request right now. Please try again later","Omlouváme se, ale momentálně nemůžeme vyřídit Váš požadavek. Zkuste to prosím později."
"Confirm personal data deletion","Potvrdit smazání osobních údajů"
"Request personal information deletion","Vyžádat smazání osobních údajů"
"There is active account connected to this email. Please login first.","K tomuto emailu je registrován aktivní účet. Nejprve se prosím přihlašte."
"You requested deletion of your account and all personal information.","Požádali jste o smazání vašeho účtu a všech osobních ůdajů."
"Please make sure you really want to do this, this action is final and IREVERSIBLE.","Prosíme, ujistěte se, že tento krok chcete učinit. Jeho následky jsou NEVRATNÉ."
"Delete My Account","Smazat můj účet"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Your account will be deleted and we wont be able to recover it anymore.","Váš účet bude smazán a nebude možné jej obnovit."
"Request deletion","Vyžádat smazázní"
"You are about to delete all personal information associated with email %1.","Chystáte se smazat všechny osobní údaje spojené s emailem %1."
"This action is final and cannot be undone.","Tato akce je konečná a nebude ji možné vrátit."
"You will still be able to make an RMA claim using an invoice.","Stále bude možné uplatnit reklamaci pomocí faktury."
"Delete Personal Information","Smazat osobní údaje"
"All Your personal information will be deleted and we wont be able to recover it anymore.","Všechny vaše osobní údaje budou smazány a již je nebude možné obnovit."
"* Required Fields","* Povinný údaj"
Email,Email
"Information deletion request","Žádost o smazání údajů"
"Delete all information associated to email %email:","Smazat všechny údaje spojené s emailem %email:"
Delete,Smazat
"Account deletion request","Žádost o smazání účtu"
"Delete your account and all personal information associated with it:","Smazat váš účet a všechny osobní údaje s ním spojené:"
Customers,Zákazníci
"GDPR Configuration","Nastavení GDPR PRO"
GDPR,GDPR
"General Configuration","Základní nastavení"
Enable,Zapnuto
"Replace text","Náhradní text"
"All personal information (name, address, etc.) will be replaced by this text on anonymization.","Všechny osobní údaje (jméno, adresa, atd.) budou během anonymizace nahrazeny tímto textem."
"Deletion Request Template","Šablona emailu s žádostí o výmaz"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová šablona je postavena na záložním tématu."
"Deletion Request Guest Template","Šablona emailu s žádostí o výmaz hosta"
"Confirm account data deletion","Potvrdit smazání účtu"
"Confirm personal information deletion","Potvrdit smazání osobních údajů"
